Transaction_ID,City,Property_Type,Rooms,Floor,Area_SQM,Price_ILS,Build_Year,Transaction_Date,Has_Elevator,Has_Parking,Balcony_SQM
10001,Ramat Gan,Apartment,4.5,6,115.1,4624000.0,2022.0,2025-03-27,True,True,9.3
10002,Petah Tikva,Apartment,3.0,5,96.4,2343000.0,1994.0,2025-11-06,True,False,0.0
10003,Haifa,Apartment,4.5,11,115.0,2422000.0,2011.0,2026-03-29,True,True,45.6
10004,Jerusalem,Apartment,3.5,11,115.8,3829000.0,1987.0,2026-01-16,True,True,29.3
10005,Tel Aviv,Apartment,4.5,5,69.5,2944000.0,1977.0,2026-02-07,True,True,37.3
10006,Tel Aviv,Villa,4.0,0,336.9,15936000.0,1995.0,2026-05-21,False,True,15.1
10007,Tel Aviv,Apartment,2.5,2,99.4,3804000.0,1992.0,2025-05-09,True,True,0.0
10008,Rishon LeZion,Apartment,3.0,14,114.2,3093000.0,2023.0,2025-02-20,True,True,42.6
10009,Haifa,Apartment,4.0,10,107.3,2658000.0,1985.0,2025-01-25,True,True,21.1
10010,Haifa,Apartment,4.5,4,91.8,2110000.0,2007.0,2025-01-07,True,False,25.5
10011,Tel Aviv,Apartment,2.5,12,92.0,-500000.0,1999.0,2025-09-19,True,True,0.0
10012,Petah Tikva,Apartment,4.5,8,64.8,1516000.0,1976.0,2024-02-21,True,False,22.4
10013,Rishon LeZion,Villa,5.5,0,167.4,5160000.0,1999.0,2025-01-10,False,False,0.0
10014,Tel Aviv,Penthouse,4.0,16,202.3,10627000.0,1966.0,2025-01-29,True,True,0.0
10015,Tel Aviv,Villa,6.0,0,313.8,15237000.0,2016.0,2026-07-11,False,True,36.4
10016,Tel Aviv,Cottage,4.5,0,0.0,8910000.0,1967.0,2024-05-21,False,False,36.1
10017,Ramat Gan,Apartment,3.0,10,122.5,4664000.0,2015.0,2024-03-26,True,True,27.8
10018,Jerusalem,Apartment,2.5,1,112.4,4098000.0,1990.0,2025-04-08,False,True,0.0
10019,Ramat Gan,Apartment,4.5,3,103.7,4147000.0,2018.0,2024-02-15,True,True,0.0
10020,Ramat Gan,Penthouse,5.0,23,178.7,7478000.0,2017.0,2026-04-23,True,False,16.1
10021,Haifa,Apartment,50.0,1,119.0,2984000.0,1971.0,2024-08-25,False,True,15.4
10022,Tel Aviv,Apartment,2.5,1,75.0,3201000.0,,2024-01-10,False,True,47.7
10023,Ramat Gan,Apartment,3.5,7,68.6,2122000.0,1990.0,2025-10-25,True,True,0.0
10024,Ramat Gan,Apartment,2.0,13,61.3,2384000.0,2022.0,2025-07-26,True,False,11.3
10025,Jerusalem,Apartment,4.0,7,82.3,2784000.0,1998.0,2025-06-13,True,True,30.7
10026,Rishon LeZion,Apartment,4.0,7,51.3,1269000.0,1979.0,2025-08-20,True,True,38.2
10027,Tel Aviv,Apartment,2.5,14,107.9,4753000.0,2007.0,2025-10-10,True,True,0.0
10028,Jerusalem,Apartment,4.5,7,71.2,2166000.0,2013.0,2026-07-01,True,True,0.0
10029,Jerusalem,Apartment,2.5,4,75.9,2642000.0,1988.0,2026-01-11,True,True,49.0
10030,Tel Aviv,Apartment,4.0,9,85.4,3789000.0,2007.0,2025-10-01,True,True,0.0
10031,Haifa,Penthouse,4.0,9,203.2,6816000.0,2015.0,2025-09-07,True,True,42.4
10032,Tel Aviv,Apartment,4.0,8,92.6,3610000.0,1976.0,2025-11-28,True,False,0.0
10033,Tel Aviv,Apartment,2.5,3,54.2,2333000.0,1968.0,2026-06-27,True,True,15.6
10034,Petah Tikva,Apartment,3.5,6,108.5,2698000.0,1993.0,2024-06-26,True,True,0.0
10035,Petah Tikva,Apartment,3.5,8,57.1,1429000.0,2004.0,2026-05-18,True,False,13.2
10036,Rishon LeZion,Villa,6.0,0,301.0,9385000.0,1968.0,2024-01-06,False,True,8.3
10037,Ramat Gan,Apartment,2.5,10,86.0,3217000.0,1966.0,2026-05-02,True,True,0.0
10038,Tel Aviv,Apartment,3.0,1,128.5,6433000.0,1975.0,2024-11-02,True,False,29.0
10039,Haifa,Apartment,2.5,14,81.9,2085000.0,1978.0,2025-07-01,True,True,36.3
10040,Ramat Gan,Apartment,4.0,5,111.5,4260000.0,1965.0,2024-11-22,True,True,39.8
10041,Tel Aviv,Apartment,3.5,14,99.9,4968000.0,1970.0,2024-12-21,True,True,6.9
10042,Jerusalem,Apartment,4.5,7,98.7,3256000.0,2020.0,2026-03-03,True,True,24.3
10043,Tel Aviv,Apartment,4.0,4,52.9,2613000.0,2001.0,2025-01-29,True,True,10.5
10044,Petah Tikva,Apartment,3.0,2,80.5,1894000.0,1972.0,2024-10-26,False,False,0.0
10045,Ramat Gan,Apartment,3.5,9,74.4,2525000.0,1971.0,2025-06-09,True,True,0.0
10046,Haifa,Apartment,5.0,7,119.9,2550000.0,1979.0,2026-01-18,True,True,27.4
10047,Ramat Gan,Apartment,3.5,6,129.4,4485000.0,2009.0,2024-10-11,True,True,45.2
10048,Jerusalem,Cottage,4.5,0,336.1,11243000.0,1995.0,2024-11-25,False,False,0.0
10049,Jerusalem,Apartment,4.0,2,103.9,3844000.0,1996.0,2024-02-19,True,False,33.7
10050,Tel Aviv,Apartment,4.5,14,113.2,4808000.0,1971.0,2026-02-11,True,True,44.8
10051,Petah Tikva,Apartment,3.0,9,51.8,1139000.0,1999.0,2025-09-13,True,False,0.0
10052,Rishon LeZion,Apartment,3.0,3,128.0,3548000.0,2013.0,2025-12-09,False,False,0.0
10053,Petah Tikva,Apartment,3.5,9,88.3,1914000.0,1961.0,2025-01-12,True,True,30.4
10054,Rishon LeZion,Apartment,2.5,14,121.9,2961000.0,2009.0,2026-02-02,True,True,28.6
10055,Jerusalem,Penthouse,5.0,24,171.8,6648000.0,2000.0,2025-08-22,True,True,37.6
10056,Petah Tikva,Apartment,2.5,5,88.3,2184000.0,2004.0,2026-04-04,True,False,0.0
10057,Tel Aviv,Apartment,2.0,4,112.1,4943000.0,1968.0,2025-06-21,True,False,36.1
10058,Tel Aviv,Apartment,3.0,12,90.5,4439000.0,2021.0,2026-02-12,True,True,0.0
10059,Tel Aviv,Apartment,4.5,12,50.0,2412000.0,2006.0,2024-05-23,True,True,37.1
10060,Ramat Gan,Apartment,4.0,2,62.2,2129000.0,1964.0,2024-02-29,True,True,6.7
10061,Ramat Gan,Apartment,2.5,3,66.9,2225000.0,1960.0,2026-05-17,False,False,22.0
10062,Ramat Gan,Apartment,2.0,2,105.6,3493000.0,2003.0,2026-02-18,False,False,0.0
10063,Rishon LeZion,Villa,4.5,0,178.4,6371000.0,1981.0,2024-03-15,False,True,48.1
10064,Ramat Gan,Apartment,3.0,14,64.2,1945000.0,1997.0,2024-01-03,True,True,21.7
10065,Ramat Gan,Apartment,3.5,1,129.7,3876000.0,1978.0,2025-07-28,False,True,
10066,Jerusalem,Penthouse,4.5,11,142.6,6559000.0,1990.0,2026-01-17,True,False,0.0
10067,Tel Aviv,Apartment,3.5,6,60.5,2704000.0,2001.0,2025-03-23,True,True,10.5
10068,Rishon LeZion,Cottage,5.5,0,188.9,5081000.0,1985.0,2026-01-10,False,True,43.1
10069,Tel Aviv,Apartment,3.5,12,64.2,2660000.0,1972.0,2026-06-20,True,False,0.0
10070,Petah Tikva,Apartment,2.0,5,83.3,2353000.0,2017.0,2024-10-01,True,True,0.0
10071,Rishon LeZion,Apartment,4.5,6,96.6,2943000.0,1977.0,2025-06-13,True,False,29.3
10072,Tel Aviv,Apartment,3.5,8,67.2,3214000.0,1962.0,2025-08-14,True,True,0.0
10073,Tel Aviv,Apartment,4.0,2,65.9,2950000.0,2014.0,2024-08-02,True,True,38.3
10074,Rishon LeZion,Apartment,3.0,4,71.3,1973000.0,2017.0,2025-11-13,True,False,0.0
10075,Haifa,Apartment,4.5,5,57.8,1486000.0,2022.0,2025-04-29,True,True,45.0
10076,Haifa,Apartment,4.5,4,69.5,1782000.0,2011.0,2024-11-24,True,True,41.4
10077,Rishon LeZion,Apartment,3.0,3,81.6,2052000.0,1983.0,2024-09-11,True,True,40.3
10078,Tel Aviv,Apartment,5.0,5,60.7,2986000.0,1968.0,2025-01-21,True,True,0.0
10079,Ramat Gan,Apartment,3.0,8,105.1,3344000.0,1996.0,2024-05-05,True,True,0.0
10080,Tel Aviv,Apartment,3.0,13,124.4,5117000.0,2012.0,2026-02-05,True,False,27.2
10081,Rishon LeZion,Apartment,3.5,8,101.0,2924000.0,1983.0,2025-08-06,True,False,45.4
10082,Haifa,Apartment,3.5,11,68.2,1491000.0,1980.0,2025-07-03,True,False,13.6
10083,Ramat Gan,Cottage,5.5,0,326.5,14198000.0,1999.0,2024-11-19,False,True,0.0
10084,Tel Aviv,Apartment,3.5,12,104.4,4119000.0,2021.0,2024-07-22,True,False,0.0
10085,Ramat Gan,Apartment,4.0,9,102.7,3607000.0,1973.0,2024-06-20,True,False,0.0
10086,Ramat Gan,Penthouse,4.0,7,244.3,12511000.0,2001.0,2026-01-04,True,True,35.5
10087,Haifa,Apartment,3.5,10,129.3,3262000.0,2009.0,2024-08-04,True,True,0.0
10088,Haifa,Villa,7.0,0,306.8,7430000.0,2020.0,2024-09-01,False,True,37.4
10089,Rishon LeZion,Apartment,2.5,10,102.8,2714000.0,1963.0,2024-12-01,True,False,24.0
10090,Jerusalem,Apartment,2.0,10,56.6,1905000.0,1976.0,2025-12-03,True,True,43.0
10091,Tel Aviv,Villa,5.0,0,303.8,14729000.0,2016.0,2024-10-24,False,False,36.3
10092,Haifa,Apartment,4.0,2,50.8,1303000.0,2007.0,2026-04-11,False,True,0.0
10093,Rishon LeZion,Apartment,4.5,4,101.5,3139000.0,2003.0,2024-06-30,True,False,0.0
10094,Jerusalem,Apartment,4.5,14,75.8,2217000.0,2004.0,2024-11-29,True,True,9.1
10095,Rishon LeZion,Apartment,5.0,11,98.2,2394000.0,1992.0,2025-05-25,True,True,7.5
10096,Jerusalem,Apartment,2.5,12,53.5,1522000.0,1990.0,2025-01-17,True,True,41.0
10097,Jerusalem,Apartment,2.5,2,79.8,2912000.0,2006.0,2025-12-17,True,True,16.7
10098,Ramat Gan,Apartment,3.0,12,63.1,2006000.0,1965.0,2026-05-22,True,False,31.2
10099,Tel Aviv,Apartment,2.5,4,65.8,2887000.0,1993.0,2024-07-17,True,False,25.0
10100,Tel Aviv,Cottage,6.0,0,207.2,10099000.0,2012.0,2024-11-27,False,True,0.0
10101,Tel Aviv,Penthouse,6.0,27,153.6,9253000.0,1973.0,2024-06-13,True,True,0.0
10102,Haifa,Apartment,4.5,5,86.8,1702000.0,1975.0,2024-08-29,True,True,0.0
10103,Ramat Gan,Penthouse,5.0,12,143.5,5994000.0,2002.0,2026-06-18,True,True,0.0
10104,Jerusalem,Apartment,4.5,6,71.5,2625000.0,1971.0,2025-10-03,True,True,0.0
10105,Petah Tikva,Apartment,2.5,13,60.5,1698000.0,1978.0,2024-08-14,True,False,47.5
10106,Tel Aviv,Apartment,5.0,11,89.1,4348000.0,2000.0,2025-09-25,True,False,0.0
10107,Ramat Gan,Apartment,4.0,12,93.4,2798000.0,2012.0,2025-07-09,True,True,16.6
10108,Rishon LeZion,Apartment,4.0,8,58.5,1525000.0,1988.0,2025-03-26,True,True,0.0
10109,Tel Aviv,Apartment,4.5,14,100.9,4715000.0,2018.0,2024-07-14,True,True,39.9
10110,Tel Aviv,Apartment,3.5,8,50.7,2128000.0,2023.0,2026-05-19,True,True,0.0
10111,Ramat Gan,Apartment,4.5,5,72.2,2838000.0,1983.0,2024-07-22,True,True,47.8
10112,Tel Aviv,Apartment,4.0,10,74.9,3506000.0,1975.0,2025-04-02,True,True,47.2
10113,Petah Tikva,Apartment,4.0,14,65.0,1416000.0,2011.0,2026-04-09,True,True,5.6
10114,Rishon LeZion,Apartment,3.5,13,91.9,2837000.0,1965.0,2024-09-13,True,True,12.8
10115,Haifa,Penthouse,5.5,26,121.4,4039000.0,1996.0,2025-06-12,True,True,0.0
10116,Rishon LeZion,Apartment,3.0,5,76.2,1830000.0,1963.0,2024-09-28,True,True,20.1
10117,Rishon LeZion,Apartment,3.5,7,90.2,2505000.0,1997.0,2024-01-09,True,True,9.3
10118,Tel Aviv,Apartment,4.0,13,112.4,4760000.0,2000.0,2026-01-30,True,False,0.0
10119,Rishon LeZion,Apartment,3.0,10,83.0,2209000.0,1973.0,2024-07-19,True,False,0.0
10120,Jerusalem,Apartment,2.0,5,63.4,1862000.0,2010.0,2024-02-28,True,False,27.2
10121,Rishon LeZion,Apartment,2.5,13,97.1,2733000.0,2024.0,2026-06-05,True,True,13.4
10122,Rishon LeZion,Apartment,4.0,14,58.3,1824000.0,2011.0,2025-01-27,True,True,34.7
